"No","Id","Name","Status","Id","GUID","Name","Cron","Domain","Status","Account","Id","Profile Id","Data Pull","Id","Data Pull","Id","Data Pull","Id","Data Pull"
"41","602e2183c2954e001e38c25e","Auto Canada",0,"61434c7cdd30fec4d7ca7506","No Id","Grande Prairie Nissan","gpnissanca","gpnissan.ca",1,"false","UA-156597236-43","","","","","","","",""
"42","602e2183c2954e001e38c25e","Auto Canada",0,"61434d96dd30fec4d7ca7f0a","No Id","Northland Volkswagen","northland_vwca","northland-vw.ca",1,"false","UA-171699954-73","","","","","","","",""
"43","602e2183c2954e001e38c25e","Auto Canada",0,"61434ef4dd30fec4d7ca97de","No Id","Moncton CDJR","monctonchryslercom","monctonchrysler.com",1,"","","","","","","","","",""
"44","602e2183c2954e001e38c25e","Auto Canada",0,"61434ef8dd30fec4d7ca9815","No Id","Crosstown CDJR","crosstownautocentrecom","crosstownautocentre.com",1,"","","","","","","","","",""
"45","602e2183c2954e001e38c25e","Auto Canada",0,"61434f2bdd30fec4d7ca9909","No Id","Capital CDJR","capitaljeepcom","capitaljeep.com",1,"","","","","","","","","",""
"46","602e2183c2954e001e38c25e","Auto Canada",0,"61434f2fdd30fec4d7ca9944","No Id","Northland CDJR","northlanddodgeca","northlanddodge.ca",1,"","","","","","","","","",""
"47","602e2183c2954e001e38c25e","Auto Canada",0,"61434f33dd30fec4d7ca9981","No Id","Tower CDJR","towerchryslercom","towerchrysler.com",1,"","","","","","","","","",""
"48","602e2183c2954e001e38c25e","Auto Canada",0,"61434f92dd30fec4d7ca9c10","No Id","401 Dixie Hyundai","401dixiehyundaicom","401dixiehyundai.com",1,"","","","","","","","","",""
"49","602e2183c2954e001e38c25e","Auto Canada",0,"61434f96dd30fec4d7ca9c4f","No Id","417 Nissan","417nissancom","417nissan.com",1,"","","","","","","","","",""
"50","602e2183c2954e001e38c25e","Auto Canada",0,"61434f9bdd30fec4d7ca9c90","No Id","Cambridge Hyundai","cambridgehyundaicom","cambridgehyundai.com",1,"","","","","","","","","",""
"51","602e2183c2954e001e38c25e","Auto Canada",0,"61434f9fdd30fec4d7ca9cd3","No Id","Crowfoot Hyundai","crowfoothyundaicom","crowfoothyundai.com",1,"","","","","","","","","",""
"53","602e2183c2954e001e38c25e","Auto Canada",0,"61434fa7dd30fec4d7ca9d5f","No Id","Grande Prairie Subaru","gpsubarucom","gpsubaru.com",1,"","","","","","","","","",""
"54","602e2183c2954e001e38c25e","Auto Canada",0,"61434fabdd30fec4d7ca9da8","No Id","Guelph Hyundai","guelphhyundaicom","guelphhyundai.com",1,"","","","","","","","","",""
"55","602e2183c2954e001e38c25e","Auto Canada",0,"61434fafdd30fec4d7ca9df3","No Id","Hunt Club Nissan","huntclubnissancom","huntclubnissan.com",1,"","","","","","","","","",""
"56","602e2183c2954e001e38c25e","Auto Canada",0,"61434fb3dd30fec4d7ca9e40","No Id","Northland Hyundai","northland_hyundaica","northland-hyundai.ca",1,"","","","","","","","","",""
"57","602e2183c2954e001e38c25e","Auto Canada",0,"61434fb7dd30fec4d7ca9e8f","No Id","Northland Nissan","northlandnissancom","northlandnissan.com",1,"","","","","","","","","",""
"67","602e287ac2954e001e38d291","Auto Inc",0,"61434d1cdd30fec4d7ca7aee","No Id","Brown's Elkader GM","4brownsgmcom","brownselkchevybuick.com",1,"false","UA-167380325-34","","","","","301387554886369","Yes","",""
"83","602e19b5c2954e001e378391","Bannister",1,"61434ea5dd30fec4d7ca9658","No Id","Bannister Chevrolet Buick GMC Edson","bannistergmcom","bannistergm.com",0,"","","","","898-820-1909","Yes","","","",""
"87","602e22f7c2954e001e38c5fa","Barnes Wheaton",0,"602e2314c2954e001e38c641","No Id","Barnes Wheaton GM South Surrey","barneswheatongmsouthsurrey","barneswheatongmsouthsurrey.com",0,"","","","","","","1555103264527631","Yes","",""
"104","602e272cc2954e001e38cfae","Berkeley Ford",0,"602e272ec2954e001e38cfb0","No Id","Berkeley Ford","berkeleyfordmonckscorner","berkeleyfordmonckscorner.com",0,"","","","","","","","","",""
"114","61434760dd30fec4d7b58a19","Boundary Ford",0,"61434762dd30fec4d7b58a1e","No Id","Boundary Ford","boundaryford","boundaryford.com",1,"false","UA-76233866-1","","","243-548-6957","Yes","1405560342815258","Yes","",""
"116","61434d3add30fec4d7ca7c00","Brandl Auto Connection St.Cloud",0,"61434d3cdd30fec4d7ca7c05","No Id","Brandl Auto Connection St.Cloud","brandlautoconnectioncom","brandlautoconnection.com",1,"false","UA-169324917-14","","","","","259316035325928","Yes","",""
"125","602e2851c2954e001e38d23f","Bruce Automotive Group",0,"603497cf0c6b0e0db0cc3049","No Id","Bruce Automotive Group","bruceautogroup","bruceautogroup.com",0,"","","","","","","","","",""
"127","602e26cec2954e001e38cee5","Bruce Walters Ford Lincoln Kia",0,"61434b1fdd30fec4d7c90c37","No Id","Bruce Walters Ford Lincoln Kia","brucewaltersford","brucewaltersford.com",1,"false","UA-143782155-12","","","699-317-3948","Yes","","","",""
"130","602e2a7fc2954e001e38d70b","Butler Auto Group",0,"61434ffcdd30fec4d7caa03b","No Id","Butler CDJR","butlerchryslerdodgejeepcom","butlerchryslerdodgejeep.com",1,"","","","","","","","","",""
"132","6163cffb9d9da4efaa72c3a7","C&H Auto Sales",0,"6163d30c9d9da4efaa72c3b5","No Id","C&H Auto Sales","candhautosalescom","candhautosales.com",1,"","","","","","","","","",""
"157","602e2623c2954e001e38cd6e","Carriage Auto Group",1,"61434fc7dd30fec4d7ca9ee5","No Id","Carriage Automotive Group","choosecarriagecom","choosecarriage.com",0,"","","","","","","","","",""
"170","6143501fdd30fec4d7caa0eb","Central Kia",0,"61435021dd30fec4d7caa0f0","No Id","Central Kia","centralkiaca","centralkia.ca",1,"","","","","","","221850303160883","Yes","",""
"178","602e2535c2954e001e38cb45","Chatlead",0,"602e29c1c2954e001e38d563","No Id","I-35 RV","i_35rvcentercom","i-35rvcenter.com",0,"","","","","","","","","",""
"181","602e2535c2954e001e38cb45","Chatlead",0,"61434c33dd30fec4d7ca72a2","No Id","Hull Nissan CA","hullnissangatineauca","hullnissangatineau.ca",1,"","","","","","","","","",""
"182","602e24a9c2954e001e38c9f5","Cheyenne Motor Products",0,"602e24abc2954e001e38c9f7","No Id","Cheyenne Motor Products","cheyennegm","cheyennegm.ca",0,"false","UA-127273656-46","","","","","","","",""
"186","602e2b5cc2954e001e38d8db","ClickNition",0,"602e2b5ec2954e001e38d8dd","No Id","Ipswich Mazda","ipswichmazdacomau","ipswichmazda.com.au",0,"","","","","","","","","",""
"188","602e2b5cc2954e001e38d8db","ClickNition",0,"61434efcdd30fec4d7ca983a","No Id","Essendon Ford","essendonfordcomau","essendonford.com.au",1,"","","","","","","","","",""
"189","602e2b5cc2954e001e38d8db","ClickNition",0,"61434f00dd30fec4d7ca984d","No Id","Essendon Mitsubishi","essendonmitsubishicomau","essendonmitsubishi.com.au",1,"","","","","","","","","",""
"190","602e2b5cc2954e001e38d8db","ClickNition",0,"61434f04dd30fec4d7ca9862","No Id","Essendon Nissan","essendonnissancomau","essendonnissan.com.au",1,"","","","","","","","","",""
"191","602e2b5cc2954e001e38d8db","ClickNition",0,"61434f4edd30fec4d7ca9a38","No Id","Flexibuy.com.au","flexibuycomau","flexibuy.com.au",1,"","","","","","","","","",""
"192","602e2b5cc2954e001e38d8db","ClickNition",0,"61434f5add30fec4d7ca9a78","No Id","Mcgrath Mitsubishi Liverpool","mcgrathmitsubishiliverpoolcomau","mcgrathmitsubishiliverpool.com.au.",1,"","","","","","","","","",""
"193","602e2b5cc2954e001e38d8db","ClickNition",0,"61434f7add30fec4d7ca9b48","No Id","Liverpool Volkswagen","liverpoolvolkswagencomau","liverpoolvolkswagen.com.au",1,"","","","","","","","","",""
"194","602e2b5cc2954e001e38d8db","ClickNition",0,"61434f7edd30fec4d7ca9b65","No Id","McGrath Subaru","mcgrathsubaruliverpoolcomau","mcgrathsubaruliverpool.com.au",1,"","","","","","","","","",""
"195","602e2b5cc2954e001e38d8db","ClickNition",0,"61434f82dd30fec4d7ca9b84","No Id","Liverpool Nissan","liverpoolnissancomau","liverpoolnissan.com.au",1,"","","","","","","","","",""
"196","602e2b5cc2954e001e38d8db","ClickNition",0,"61434f86dd30fec4d7ca9ba5","No Id","Liverpool Mazda","liverpoolmazdacomau","liverpoolmazda.com.au",1,"","","","","","","","","",""
"197","602e2b5cc2954e001e38d8db","ClickNition",0,"61434f8add30fec4d7ca9bc8","No Id","McGrath Hyundai","mcgrathhyundailiverpoolcomau","mcgrathhyundailiverpool.com.au",1,"","","","","","","","","",""
"198","602e2b5cc2954e001e38d8db","ClickNition",0,"61434fcbdd30fec4d7ca9eff","No Id","Western Plains Automotive","westernplainsautomotivecomau","westernplainsautomotive.com.au",1,"","","","","","","","","",""
"199","602e2b5cc2954e001e38d8db","ClickNition",0,"61434fefdd30fec4d7ca9fcc","No Id","Black Hyundai","blackhyundaicomau","blackhyundai.com.au",1,"","","","","","","","","",""
"200","602e2b5cc2954e001e38d8db","ClickNition",0,"61434ff8dd30fec4d7caa020","No Id","Liverpool GM SV","liverpoolgmsvcomau","liverpoolgmsv.com.au",1,"","","","","","","","","",""
"201","602e2b5cc2954e001e38d8db","ClickNition",0,"61435009dd30fec4d7caa07f","No Id","Cricks Maroochudore VW","cricksmaroochydorevwcomau","cricksmaroochydorevw.com.au",1,"","","","","","","","","",""
"221","602e2435c2954e001e38c8e0","Cumberland Group",0,"602e2437c2954e001e38c8e2","No Id","Cumberland Chrysler Center","cumberlandchryslercenter","cumberlandchryslercenter.com",0,"","","","","","","775059149930243","Yes","",""
"222","602e2435c2954e001e38c8e0","Cumberland Group",0,"602e243bc2954e001e38c8eb","No Id","Cumberland Toyota","cumberlandtoyota","cumberlandtoyota.com",0,"","","","","","","","","",""
"225","61434d5fdd30fec4d7ca7d02","Curry Chevrolet Buick GMC",0,"61434d61dd30fec4d7ca7d07","No Id","Curry Chevrolet Buick GMC","currychevroletca","currychevrolet.ca",1,"false","UA-171699954-15","","","","","290169458847517","Yes","",""
"232","602e23dcc2954e001e38c81a","Davis Auto Group",0,"602e23dec2954e001e38c81c","No Id","Davis GMC Buick","davisgmctrucks","davisgmctrucks.ca",0,"false","UA-118985773-13","","","","","","","",""
"236","602e27d2c2954e001e38d11c","Diesel Agency",0,"5e860e612e707f652036bdad","No Id","Barker Kia","barkerkia","barkerkia.com",0,"","","","","","","432945987354905","Yes","",""
"247","61434fbadd30fec4d7ca9ebc","Don Bessette Hyundai",0,"61434fbcdd30fec4d7ca9ec1","No Id","Don Bessette Hyundai","donbessettehyundaicom","donbessettehyundai.com",1,"","","","","","","294598202205145","Yes","",""
"249","61434c82dd30fec4d7ca754a","Downtown Auto Group",0,"61434c84dd30fec4d7ca754f","No Id","Downtown Toyota","downtowntoyotaca","downtowntoyota.ca",1,"false","UA-157545294-14","","","","","","","",""
"250","61434b3bdd30fec4d7c99bd5","Drive Time Ontario",0,"61434b3edd30fec4d7c9be41","No Id","Drive Time Ontario","drivetimeontario","drivetimeontario.ca",1,"false","UA-143782155-37","","","930-450-7600","Yes","378340499538414","Yes","",""
"267","602e2395c2954e001e38c77b","Envision Floor Covering",0,"602e2397c2954e001e38c77d","No Id","Envision Floor Covering","envisionfloorcovering","envisionfloorcovering.ca",0,"false","UA-107116176-24","","","264-802-2539","Yes","","","",""
"270","61c433791af603bc3917ee95","Evo Motors",0,"61c433821af603bc3917eec0","No Id","Evo Motors","evomotorsusacom","evomotorsusa.com",1,"","","","","","","","","",""
"271","602e239fc2954e001e38c791","FFUN Group",0,"602e23a1c2954e001e38c793","No Id","Saskatoon South Hyundai","saskatoonsouthhyundai","saskatoonsouthhyundai.com",0,"false","UA-115746485-2","","","","","","","",""
"273","602e239fc2954e001e38c791","FFUN Group",0,"602e2400c2954e001e38c86a","No Id","Nipawin Motor Sports & Marine","nipawinmotorsports","nipawinmotorsports.com",0,"false","UA-115741122-9","","","","","","","",""
"274","602e239fc2954e001e38c791","FFUN Group",0,"614348d9dd30fec4d7bd37b1","No Id","South 20 Dodge","south20dodge","south20dodge.com",1,"false","UA-115746485-5","","","163-918-5023","Yes","2482672858667098","Yes","156004318","Yes"
"275","602e239fc2954e001e38c791","FFUN Group",0,"61434f8edd30fec4d7ca9be5","No Id","Ffun Group","ffuncom","ffun.com",1,"","","","","","","818242675773550","Yes","",""
"276","602e239fc2954e001e38c791","FFUN Group",0,"61435005dd30fec4d7caa05f","No Id","Carooga","caroogacom","carooga.com",1,"","","","","","","","","",""
"280","61434f16dd30fec4d7ca98ab","Field of RV Dreams",0,"61434f19dd30fec4d7ca98b0","No Id","Field of RV Dreams","fieldofrvdreamscom","fieldofrvdreams.com",1,"","","","","","","200772531816556","Yes","",""
"285","61434f36dd30fec4d7ca99a6","Forbes Kia Bridgewater",0,"61434f38dd30fec4d7ca99ab","No Id","Forbes Kia Bridgewater","forbeskiabridgewaterca","forbeskiabridgewater.ca",1,"","","","","","","223557269284744","Yes","",""
"286","61434e55dd30fec4d7ca94fe","Fort Motors",0,"61434e57dd30fec4d7ca9503","No Id","Fort Motors","fortmotorsca","fortmotors.ca",1,"","","","","","","276435939968309","Yes","",""
"291","602e24cdc2954e001e38ca47","Frank Dunn Toyota",0,"602e24cfc2954e001e38ca49","No Id","Frank Dunn Toyota","","frankdunntoyota.com",0,"","","","","","","","","",""
"297","602e2b8dc2954e001e38d93c","Full Throttle Sports and Leisure",0,"602e2b8fc2954e001e38d93e","No Id","Full Throttle Sports and Leisure","fullthrottleautosca","fullthrottleautos.ca",0,"","","","","","","","","",""
"298","602e242bc2954e001e38c8ce","Gateway Alliance Medical",0,"602e242dc2954e001e38c8d0","No Id","Gateway Alliance Medical","gatewayalliancemedical","gatewayalliancemedical.com",0,"","","","","","","","","",""
"305","61434e41dd30fec4d7ca94bc","Gus Revenberg Auto Group",0,"61434e43dd30fec4d7ca94c1","No Id","Gus Revenberg Chevrolet Buick GMC","gusrevenbergcom","gusrevenberg.com",1,"","","","","","","180870900450846","Yes","",""
"306","61434e41dd30fec4d7ca94bc","Gus Revenberg Auto Group",0,"61434ed4dd30fec4d7ca9747","No Id","Gus Revenberg Kia","gusrevenbergkiacom","gusrevenbergkia.com",1,"","","","","","","4139366406087813","Yes","",""
"319","602e2bbdc2954e001e38d9a0","Heartland Auto Group",0,"61434a0bdd30fec4d7c389d2","No Id","Heartland Honda Power Sports Parts","hondapowersportsparts","hondapowersportsparts.com",1,"false","UA-122092463-12","","","302-970-7629","Yes","","","",""
"327","614348ffdd30fec4d7be05dc","Holiday Auto Group",0,"61434902dd30fec4d7be2df8","No Id","Holiday Chevy Whitesboro","holidaychevy","holidaychevy.net",1,"false","UA-113342254-30","","","","","705623040335208","Yes","",""
"331","61434e93dd30fec4d7ca9619","Huron",0,"61434e95dd30fec4d7ca961e","No Id","Huron Cadillac","hmpcadillaccom","hmpcadillac.com",1,"","","","","","","","","",""
"335","602e2b57c2954e001e38d8d0","Innisfail Chrysler",0,"61434dc1dd30fec4d7ca8092","No Id","Innisfail Chrysler","innisfailcdjrcom","innisfailchrysler.com",1,"false","UA-179984697-9","","","","","","","",""
"342","602e238cc2954e001e38c769","Johnson Ford Lincoln",0,"602e238ec2954e001e38c76b","No Id","Johnson Ford Lincoln","johnsondealerships","drivejohnson.com",0,"false","UA-76340073-1","","","","","","","",""
"349","61434fbfdd30fec4d7ca9ece","Julio Jones Auto Group",0,"61434fc1dd30fec4d7ca9ed3","No Id","Julio Jones Auto Group","buyfromjuliocom","buyfromjulio.com",1,"","","","","","","1451208815245271","Yes","",""
"354","61434f5ddd30fec4d7ca9a8b","Kamloops Kia",0,"61434f5fdd30fec4d7ca9a90","No Id","Kamloops Kia","kamloopskiacom","kamloopskia.com",1,"","","","","277-603-5243","Yes","183714513642715","Yes","156004302","Yes"
"356","61434c0bdd30fec4d7ca715d","Kelowna Honda Powersports",0,"61434c0ddd30fec4d7ca7162","No Id","Kelowna Honda Powersports","kelownahonda","kelownapowersports.com",1,"false","UA-151218577-18","","","790-184-6421","Yes","","","",""
"359","6143503edd30fec4d7caa14d","Kia Country Charleston",0,"61435040dd30fec4d7caa152","No Id","Kia Country Charleston","kiacountryofcharlestoncom","kiacountryofcharleston.com",1,"","","","","","","","","",""
"360","61435039dd30fec4d7caa13d","Kia Country Savannah",0,"6143503bdd30fec4d7caa142","No Id","Kia Country Savannah","kiacountryofsavannahcom","kiacountryofsavannah.com",1,"","","","","","","","","",""
"363","6143495add30fec4d7bffca9","Kia of Timmins",0,"6143495cdd30fec4d7c011c2","No Id","Kia of Timmins","kiaoftimmins","kiaoftimmins.com",1,"false","UA-124252380-24","","","","","327645412137028","Yes","",""
"384","61434a43dd30fec4d7c4b044","Lakeshore Motors Ltd",0,"61434a46dd30fec4d7c4da7b","No Id","Lakeshore Motors Ltd","lakeshoremotorsltd","lakeshoremotorsltd.com",1,"false","UA-137985131-13","","","","","2046768762115880","Yes","",""
"386","602e24c8c2954e001e38ca3a","Larry Hudson",0,"602e24cac2954e001e38ca3c","No Id","Larry Hudson Chevrolet","larryhudson","larryhudson.com",0,"false","UA-130939443-22","","","910-833-5297","Yes","","","156002929","Yes"
"387","602e24c8c2954e001e38ca3a","Larry Hudson",0,"602e24f4c2954e001e38caa3","No Id","Hudson Listowel Kia","listowelkia","listowelkia.com",0,"false","UA-130939443-42","","","660-257-4142","Yes","","","156002927","Yes"
"392","6143502fdd30fec4d7caa11d","Lee Ford",0,"61435031dd30fec4d7caa122","No Id","Lee Ford","leemotorcom","leemotor.com",1,"","","","","","","","","",""
"393","61435034dd30fec4d7caa12d","Lee Hyundai",0,"61435036dd30fec4d7caa132","No Id","Lee Hyundai","leehyundaicom","leehyundai.com",1,"","","","","","","","","",""
"394","61435024dd30fec4d7caa0fd","Lee Kia",0,"61435027dd30fec4d7caa102","No Id","Lee Kia","leekiaofgreenvillecom","leekiaofgreenville.com",1,"","","","","","","","","",""
"395","6143502add30fec4d7caa10d","Lee Nissan",0,"6143502cdd30fec4d7caa112","No Id","Lee Nissan","leenissancom","leenissan.com",1,"","","","","","","","","",""
"396","602e2bdec2954e001e38d9e0","Legend Auto Sales",0,"602e2be0c2954e001e38d9e2","No Id","Legend Auto Sales","legendautosalescom","legendautosales.com",0,"","","","","","","","","",""
"436","602e2778c2954e001e38d05a","Linnihan Foy",0,"61434f4add30fec4d7ca9a17","No Id","Cape Cod Harley-Davidson","capecodharleycom","capecodharley.com",1,"","","","","","","","","",""
"438","602e2778c2954e001e38d05a","Linnihan Foy",0,"61435049dd30fec4d7caa17e","No Id","Ken Vance Motors Hyundai","kenvancehyundaicom","kenvancehyundai.com",1,"","","","","","","543336903650365","Yes","",""
"439","602e2682c2954e001e38ce3e","Live Admins",0,"602e2684c2954e001e38ce40","No Id","All American Harley","allamericanharley","allamericanharley.com",0,"false","UA-141626127-35","","","","","","","",""
"440","602e2682c2954e001e38ce3e","Live Admins",0,"602e2688c2954e001e38ce48","No Id","Double Eagle Harley","doubleeagleharley","doubleeagleharley.com",0,"","","","","","","","","",""
"441","602e2682c2954e001e38ce3e","Live Admins",0,"602e26d9c2954e001e38cefc","No Id","Ronnies Motorsports","ronniesmotorsports","ronniesmotorsports.com",0,"false","UA-143782155-21","","","","","","","",""
"442","602e2682c2954e001e38ce3e","Live Admins",0,"602e2719c2954e001e38cf83","No Id","Southeast Motorcycle","southeastmotorcycle","southeastmotorcycle.com",0,"","","","","","","","","",""
"443","602e2682c2954e001e38ce3e","Live Admins",0,"602e27c1c2954e001e38d0f5","No Id","Pops RV","poprvs","poprvs.com",0,"","","","","","","","","",""
"444","602e2682c2954e001e38ce3e","Live Admins",0,"602e282bc2954e001e38d1ea","No Id","St. Charles Harley Davidson","stcharlesharleydavidson","stcharlesharleydavidson.com",0,"false","UA-151218577-11","","","","","","","",""
"445","602e2682c2954e001e38ce3e","Live Admins",0,"602e282fc2954e001e38d1f3","No Id","Big St.Charles Motorsports","bigstcharlesmotorsports","bigstcharlesmotorsports.com",0,"false","UA-151218577-10","","","","","","","",""
"446","602e2682c2954e001e38ce3e","Live Admins",0,"602e285cc2954e001e38d254","No Id","Pop Yachts","popyachtscom","popyachts.com",0,"","","","","","","","","",""
"447","602e2682c2954e001e38ce3e","Live Admins",0,"602e2900c2954e001e38d3ba","No Id","World of Powersports","worldofpowersportscom","worldofpowersports.com",0,"","","","","","","","","",""
"448","602e2682c2954e001e38ce3e","Live Admins",0,"602e290ec2954e001e38d3d3","No Id","Leggat GM","leggatca","leggat.ca",0,"","","","","","","","","",""
"449","602e2682c2954e001e38ce3e","Live Admins",0,"602e294ac2954e001e38d458","No Id","Longhorn Harley","longhornhdcom","longhornhd.com",0,"false","UA-159081726-38","","","","","","","",""
"450","602e2682c2954e001e38ce3e","Live Admins",0,"602e29e1c2954e001e38d5a8","No Id","Walter Brothers Harley-Davidson","waltersbroshdcom","waltersbroshd.com",0,"","","","","","","","","",""
"451","602e2682c2954e001e38ce3e","Live Admins",0,"602e2a55c2954e001e38d6ac","No Id","San Leandro Ford Lincoln","fordsanleandrocom","fordsanleandro.com",0,"","","","","","","","","",""
"452","602e2682c2954e001e38ce3e","Live Admins",0,"602e2abcc2954e001e38d78b","No Id","American Harley Davidson","americanharley_davidsoncom","americanharley-davidson.com",0,"","","","","","","","","",""
"453","602e2682c2954e001e38ce3e","Live Admins",0,"602e2acac2954e001e38d7a9","No Id","Henderson Harley-Davidson","hendersonhdcom","hendersonhd.com",0,"","","","","","","","","",""
"454","602e2682c2954e001e38ce3e","Live Admins",0,"602e2b50c2954e001e38d8c2","No Id","Stadium Auto California","stadiumautocaliforniacom","stadiumautocalifornia.com",0,"","","","","","","","","",""
"455","602e2682c2954e001e38ce3e","Live Admins",0,"602e2b67c2954e001e38d8f1","No Id","FX Caprara Harley-Davidson","fxcapraraharley_davidsoncom","fxcapraraharley-davidson.com",0,"","","","","","","","","",""
"456","602e2682c2954e001e38ce3e","Live Admins",0,"602e2b6bc2954e001e38d8f8","No Id","Harley Davidson of Jamestown","jamestownharleycom","jamestownharley.com",0,"","","","","","","","","",""
"457","602e2682c2954e001e38ce3e","Live Admins",0,"602e2b70c2954e001e38d8ff","No Id","James Town Canam Seadoo","jamestowncanamseadoocom","jamestowncanamseadoo.com",0,"","","","","","","","","",""
"458","602e2682c2954e001e38ce3e","Live Admins",0,"61434f6cdd30fec4d7ca9ad7","No Id","Jaguar Huntington","jaguarhuntingtoncom","jaguarhuntington.com",1,"","","","","","","","","",""
"459","602e2682c2954e001e38ce3e","Live Admins",0,"61434f71dd30fec4d7ca9b0c","No Id","Land Rover Huntington","landroverhuntingtoncom","landroverhuntington.com",1,"","","","","","","","","",""
"460","61434e9edd30fec4d7ca963d","LiveAdmins",0,"61434ea1dd30fec4d7ca9642","No Id","California Harley","californiaharleydavidsoncom","californiaharleydavidson.com",1,"","","","","","","","","",""
"461","61434e9edd30fec4d7ca963d","LiveAdmins",0,"61434ef0dd30fec4d7ca97bb","No Id","Richmond Honda","richmondhondacom","richmondhonda.com",1,"","","","","","","","","",""
"462","61434e9edd30fec4d7ca963d","LiveAdmins",0,"61434f63dd30fec4d7ca9aa2","No Id","Pig Trail Harley Davidson","pigtrailhdcom","pigtrailhd.com",1,"","","","","","","","","",""
"469","602e22dfc2954e001e38c5c1","Mac Lang Orillia",0,"602e22e1c2954e001e38c5c3","No Id","Mac Lang Orillia","orilliadodgechrysler","maclangorillia.com",0,"false","UA-81637209-33","","","","","","","",""
"470","602e22d5c2954e001e38c5ab","MacDonald Auto Group",0,"602e22d7c2954e001e38c5ad","No Id","Macdonald Auto Group","macdonaldautogroup","macdonaldautogroup.com",0,"false","UA-73047112-1","","","","","","","",""
"471","602e22d5c2954e001e38c5ab","MacDonald Auto Group",0,"61434f56dd30fec4d7ca9a62","No Id","MacDonald Cadillac","newbrunswickcadillaccom","macdonaldcadillac.ca",1,"","","","","154-225-7339","Yes","259496622500203","Yes","",""
"479","61434ea8dd30fec4d7ca966e","Marchant Chevrolet",0,"61434eabdd30fec4d7ca9673","No Id","Marchant Chevrolet","marchantchevynet","marchantchevy.net",1,"","","","","","","286901469502406","Yes","",""
"481","602e256cc2954e001e38cbc3","Martin Small Equipment Ltd",0,"602e256ec2954e001e38cbc5","No Id","Martin Small Equipment Ltd","martinsmall","martinsmall.ca",0,"false","UA-109746378-1","","","","","","","",""
"490","5fb6c66894138d001dfde574","McManes Automotive",0,"5fb6c67094138d001dfde576","No Id","Royal Oak Nissan","royaloaknissan","royaloaknissan.ca",0,"false","UA-141626127-15","","","300-592-1886","Yes","","","156003302","Yes"
