Customer Name,CRON ID,Internal Dashboard ID,Analytics Email,Analytics,Facebook,Pixel,Google,Bing,CSM,Google Ad Ops Manager,Facebook Ad Ops Manager
Barry Cullen Chevrolet Cadillac,barrycullen,5fc87bfaaec401001d0dbb53,marshalsmedia@gmail.com,UA-66263818-1,1439676096070349,138744430048738,922-323-8795,,Grant Criddle,Umer Khan,Arnel Ditona
Basant Motors,basantmotors,602e265bc2954e001e38cdec,smediaanalytic@gmail.com,UA-141626127-18,,1103536236523857,,,,,
Basswood Chrysler Dodge Jeep Ram,basswoodcdjr,602e2308c2954e001e38c622,smediawebmastertool@gmail.com,UA-109667713-25,1543928578978433,508780916166136,,,Kaleah Baker,,Kryzelle Campus
Bathurst Toyota,bathursttoyotaca,602e2675c2954e001e38ce21,smediaanalytic@gmail.com,UA-141626127-25,2362173664017500,432751347308407,,,Grant Criddle,,Esperanza San Jose
BCS Auto Sales,budgetcarsales,5fb6c28c94138d001dfde4e7,smediaanalytic@gmail.com,UA-52885798-2,409359729995166,1616860978456684,987-348-7337,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
Bean Chevrolet Buick GMC Corvette,beancars,602e237fc2954e001e38c745,smediawebmastertool@gmail.com,UA-113480963-1,1602943466410277,184823942271170,348-758-6111,,Grant Criddle,,Esperanza San Jose
Beardmore Chevrolet,beardmorechevycom,,smediaanalytic@gmail.com,UA-169324917-19,,,,,,,
Beardmore Hyundai,beardmorehyundaicom,,smediaanalytic@gmail.com,UA-171699954-91,,,,,,,
Beardmore Subaru,beardmoresubarucom,5fb6c40194138d001dfde514,smediaanalytic@gmail.com,UA-161444828-28,2916188358456739,294355244885767,,,Devin Howell-Shiplack,,
Beck & Masten Buick GMC North,beckmastennorth,,smediawebmastertool@gmail.com,UA-100014029-17,2792995307587215,999878727150218,781-625-8700,,Devin Howell-Shiplack,,Kryzelle Campus
Beck & Masten Buick GMC South,beckmastensouth,,smediaanalytic@gmail.com,UA-146366686-18,352343792312925,1221156938238789,,,Devin Howell-Shiplack,,Kryzelle Campus
Ben R Auto Sales,benrauto,602e24b5c2954e001e38ca0d,smediaanalytic@gmail.com,UA-122092463-7,305447353414271,273788376660687,,,Ryan Yuhasz,,
Bennett GM,bennettgm,602e2199c2954e001e38c293,marshalsmedia@gmail.com,UA-56150902-1,958576130847017,1018756058165881,309-847-3181,,Ryan Yuhasz,,
Benson Ford,bensonfordnet,602e2a38c2954e001e38d66c,smediaanalytic@gmail.com,UA-165690643-45,898501373971291,2903265553105672,,,Erin Richmond,,Arnel Ditona
Benson Hyundai,bensonhyundaicom,602e2b05c2954e001e38d827,smediaanalytic@gmail.com,UA-171699954-55,354962642358041,628730787781580,,,Corbin(Partnerships),,Arnel Ditona
Benson Kia,bensonkia,602e2753c2954e001e38d001,smediaanalytic@gmail.com,UA-146366686-20,538685533542258,523081591601889,,,Erin Richmond,,Arnel Ditona
Benson Nissan Easley,nissaneasleycom,602e2a7cc2954e001e38d702,smediaanalytic@gmail.com,UA-169324917-15,700327503844217,1214643152222625,,,Erin Richmond,,Arnel Ditona
Benson Nissan Spartanburg,bensonnissancom,602e2b93c2954e001e38d946,smediaanalytic@gmail.com,UA-179984697-52,367144024603226,420552865775235,,,Erin Richmond,,Arnel Ditona
Big Top Powersports,bigtoppowersportscom,,,UA-157545294-11,400503114289115,167254451241288,,,,,
Bill Alexander Ford,billalexanderford,602e2848c2954e001e38d22b,smediaanalytic@gmail.com,UA-151218577-22,435329027153800,430310627661442,,,Ryan Yuhasz,,Nhoel Ditona
Blackbridge Harley-Davidson,blackbridgeharley,602e258bc2954e001e38cc06,smediaanalytic@gmail.com,UA-107855023-1,,836700106676243,,156002851,Devin Howell-Shiplack,,
BMW Gallery,bmwgalleryca,602e28d6c2954e001e38d352,smediaanalytic@gmail.com,UA-156597236-40,540705096105202,832135313554165,,,Alyssa Podevin,,Arnel Ditona
BMW Northwest,bmwnorthwest,602e22f4c2954e001e38c5ef,smediawebmastertool@gmail.com,UA-107116176-5,1529162523788372,333288890414335,512-824-2115,156003207,,,
Bocker Auto Group,bockerautogroup,602e2278c2954e001e38c4ca,smediawebmastertool@gmail.com,UA-96122244-12,1331133250257968,1344192185638561,,,Ryan Yuhasz,,Nhoel Ditona
Boeckman Ford Inc,boeckmanford,602e2465c2954e001e38c94d,smediaanalytic@gmail.com,UA-127273656-10,244254296266142,664932417233586,,,Kaleah Baker,,Kryzelle Campus
Boundary Ford,boundaryford,,smediawebmastertool@gmail.com,UA-76233866-1,,,,,Alyssa Podevin,,
Boundary Motor Sports,boundarymotorsports,,,"UA-185710316-4	",1541086049262686,697159541171443,,,,,
Brantford Auto Group-Brantford Nissan,brantfordnissancom,,,"UA-179984697-80	",848349949329642,382293543025525,,,,,
Brantford Honda,brantfordhonda,602e26b1c2954e001e38cea2,smediaanalytic@gmail.com,UA-143782155-2,1415655905256567,2303826849655108,,,Regan Hinchcliffe,,
Brantford Hyundai,brantfordhyundai,602e219fc2954e001e38c2a0,smediaanalytic2@gmail.com,UA-149898987-1,1246284348742859,1885988261678007,147-645-7535,,Ryan Yuhasz,,Nhoel Ditona
Brantford Kia,brantfordkiacom,602e2b98c2954e001e38d951,smediaanalytic@gmail.com,UA-179984697-47,361256288296782,440083466982647,,,Kaleah Baker,,Nhoel Ditona
Brian Cullen Motors,briancullencom,602e2a50c2954e001e38d6a3,smediaanalytic@gmail.com,UA-167380325-33,278957886593226,248934043052349,,,Ryan Yuhasz,,Nhoel Ditona
Brian Toliver Ford,briantoliverford,,,"UA-127273656-43	",325726971613303,289481601764439,,,,,
Bridges Chevrolet,bridgesgm,,,UA-81637209-28,1745099419056182,943451629072546,,,,,
Brightdrive,brightdriveca,602e2bb5c2954e001e38d98e,smediaanalytic@gmail.com,UA-179984697-79,,,,,,,
Brown's AG - Brown's Elkader GM,4brownsgmcom,,,"UA-167380325-34	",301387554886369,420699811724291,,,,,
Brown's AG - Brown's West Branch,brownswbcom,,,UA-159081726-28,948709252579084,691404944617016,,,,,
Brown's Elkader CDJR,brownssalesleasingcom,,,"UA-159081726-27	",152352033477854,1103282386469344,,,,,
Browns Chevrolet Buick GMC,brownschev,602e2431c2954e001e38c8d5,smediaanalytic@gmail.com,UA-118985773-29,712640389088826,325197461364894,416-405-1294,,Erin Richmond,Umer Khan,Arnel Ditona
Browns VW,brownsvw,602e271ec2954e001e38cf8c,smediaanalytic@gmail.com,UA-143782155-49,566227414168030,1025626634465186,,,Ryan Yuhasz,,Nhoel Ditona
Bruce Hyundai,brucehyundaicom,602e2853c2954e001e38d241,smediaanalytic@gmail.com,UA-45852742-14,1396694623845403,577984706337751,,,Devin Howell-Shiplack,,Kryzelle Campus
Bruce Walters Ford Lincoln Kia,brucewaltersford,5fb6c27d94138d001dfde4db,smediaanalytic@gmail.com,UA-143782155-12,656649324823169,788616104890048,699-317-3948,,Ryan Yuhasz,,Nhoel Ditona
Buddy Gregg RV,buddygreggcom,,,,,,,,,,
Budget Auto Centre,budgetautocentrecom,,smediaanalytic@gmail.com,UA-157545294-51,312656796700284,346295290049229,,,Devin Howell-Shiplack,,Kryzelle Campus
Budget Builders,budgetbuilders,602e239cc2954e001e38c787,,UA-190651803-100,615521905752173,300172448044293,556-098-4347,,,Homi Khan,
Butler GM,butlergmcom,602e2ac6c2954e001e38d7a0,smediaanalytic@gmail.com,UA-171699954-16,224113812321659,1251766185174453,,,Grant Criddle,,
Butler Lexus of South Atlanta,butlerlexussouthatlantacom,602e2a82c2954e001e38d70d,smediaanalytic@gmail.com,UA-169324917-16,319400219075970,3572930912787716,,,Devin Howell-Shiplack,,Kryzelle Campus
"Byrider Albany
",byridercom,,marshalsmedia@gmail.com,UA-154745040-12,561855197736878,836638360112784,938-365-0411,,Devin Howell-Shiplack,,
Calgary BMW,calgarybmw,602e245cc2954e001e38c93b,smediaanalytic@gmail.com,UA-127273656-2,540705242771854,408513319273101,,,Alyssa Podevin,,Arnel Ditona
Calgary Honda,calgaryhondaca,602e288ac2954e001e38d2b0,marshalsmedia@gmail.com,UA-154745040-15,540705352771843,1165188123545725,,,,,Arnel Ditona
Cam Clark Ford Airdrie,camclarkfordairdriecom,602e29d9c2954e001e38d596,smediaanalytic@gmail.com,UA-161444828-1,308494020141276,646669465899604,115-276-3080,,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Cam Clark Ford Canmore,canmorecamclarkfordcom,602e29d0c2954e001e38d582,smediaanalytic@gmail.com,UA-159081726-48,256631482142757,249287949759987,,,Devin Howell-Shiplack,,Kryzelle Campus
Cam Clark Ford Olds,camclarkfordoldsca,602e29d4c2954e001e38d58b,smediaanalytic@gmail.com,UA-159081726-50,824740438049303,685206988907512,,,Devin Howell-Shiplack,,Kryzelle Campus
Cam Clark Red Deer,camclarkfordreddeercom,,smediaanalytic@gmail.com,UA-159081726-49,1899258680207130,221702289122808,,,Devin Howell-Shiplack,,
Cambrian Ford,cambrianford,602e2701c2954e001e38cf4f,smediaanalytic@gmail.com,UA-143782155-41,339176340324108,2428953874052332,,,Ryan Yuhasz,,Nhoel Ditona
Campbell River Toyota,campbellrivertoyota,602e267fc2954e001e38ce35,smediaanalytic@gmail.com,UA-141626127-32,351329315527524,383826775813840,,,Ryan Yuhasz,,
Campkins RV Centre,campkins,,marshalsmedia@gmail.com,UA-42553815-4,1005744179463545,1135672559810569,136-113-8695,,Devin Howell-Shiplack,,Kryzelle Campus
Canada Car Approvals,canadacarapprovals,,,UA-146366686-39,,,,,,,
CarChat24,,,,,,,,,Corbin Senchuk,,
Carimex Auto Sales Waterloo,carimex,602e2723c2954e001e38cf97,smediaanalytic@gmail.com,UA-146366686-1,1100484970142356,419833198881213,,,Kaleah Baker,,Esperanza San Jose
Carlyle Chevrolet Buick GMC,carlylegm,,smediaanalytic@gmail.com,UA-124252380-41,443563939665506,911455905918663,196-215-8837,,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Carriage Kia,carriagekia,5fb6c69494138d001dfde599,smediaanalytic@gmail.com,UA-34606978-4,296350504601502,432991197261328,723-287-8742,,Erin Richmond,Umer Khan,Arnel Ditona
Carriage Kia of Woodstock,carriagekiawoodstock,5fb6c69e94138d001dfde5a4,smediaanalytic@gmail.com,UA-34606978-10,406669376843513,376424326548893,175-014-2242,,Erin Richmond,Umer Khan,Arnel Ditona
Carriage Mitsubishi,carriagemitsubishi,5fb6c7f294138d001dfde5cd,smediaanalytic@gmail.com,UA-34606978-3,448633155867841,875051939548169,521-046-8909,,Erin Richmond,Umer Khan,Arnel Ditona
Carriage Nissan,carriagenissan,5fb6c68a94138d001dfde58e,smediaanalytic@gmail.com,UA-34606978-2,426839174566196,2319251718355380,601-996-3941,,Erin Richmond,Umer Khan,Arnel Ditona
Carter Cadillac,cartercadillacca,,,"UA-154745040-1	",1114462715684053,1127143937617779,,,,,
Carter GM Burnaby,cartergm,602e263dc2954e001e38cda8,smediaanalytic@gmail.com,UA-140422192-50,469523840459809,612996492441474,,,,,Arnel Ditona
Carz & Vanz Tauranga,carznvanzconz,602e2a64c2954e001e38d6cc,smediaanalytic@gmail.com,UA-167380325-44,1995614097249783,389069531985730,,,Grant Criddle,,Esperanza San Jose
CBC Automotive Marketing,,,,,,,,,Corbin Senchuk,,Nhoel Ditona
Centennial Honda,centennialhonda,602e25e0c2954e001e38cccf,smediaanalytic@gmail.com,UA-140422192-23,1995435217233033,463333094235991,669-642-1605,156003557,Grant Criddle,,Arnel Ditona
Centennial Kia,centennialkia,602e25dac2954e001e38ccc2,smediaanalytic@gmail.com,UA-140422192-22,455964805219230,181152352826323,537-029-7942,156003558,Grant Criddle,,Arnel Ditona
Centennial Mazda,centennialmazda,602e25e5c2954e001e38ccdc,smediaanalytic@gmail.com,UA-137985131-49,835058723531189,605423933311918,924-465-0388,156003554,Grant Criddle,,Arnel Ditona
Centennial Nissan of Charlottetown,centennialnissanofcharlottetown,602e25d5c2954e001e38ccb6,smediaanalytic@gmail.com,UA-137985131-47,853852954982809,580329495790441,436-044-6790,156003555,Grant Criddle,,Arnel Ditona
Centennial Nissan of Summerside,centennialnissanofsummerside,602e25d0c2954e001e38ccaa,smediaanalytic@gmail.com,UA-137985131-46,467258564010653,2238478142903563,,156003559,Grant Criddle,,Arnel Ditona
Centerline RV,centerlineauto,602e2485c2954e001e38c99a,smediaanalytic@gmail.com,UA-127273656-19,2256747134582269,243022373302519,593-369-1503,,Kaleah Baker,,Kryzelle Campus
Central Plains Co-op,centralplainscoop,602e21adc2954e001e38c2c3,smediaanalytic@gmail.com,UA-51660111-27,,,219-179-1088,,,Homi Khan,
Chatham Nissan,chathamnissancom,602e2acfc2954e001e38d7b2,smediaanalytic@gmail.com,UA-171699954-20,352878492402342,1579792168848742,,,Ryan Yuhasz,,Nhoel Ditona
Chicagoland Autogroup- Honda Superstore of Joliet,hondaofjolietcom,,,"UA-185710316-73	",1024920564667014,111549820844647,,,,,
Chilliwack Volkswagen,chilliwackvw,,,"UA-122092463-31	",,1741784142723826,440-179-8185,,,,
Citte Center,cittecenter,602e25f8c2954e001e38cd08,smediaanalytic@gmail.com,UA-140422192-21,626022264579262,525615694510131,951-934-7100,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
City Auto Plaza CDJR,cityautoplazachryslerdodgejeepcom,602e2bcdc2954e001e38d9bf,smediaanalytic@gmail.com,UA-179984697-90,704652393521277,3743759572312480,,,Devin Howell-Shiplack,,Arnel Ditona
Clark Cullen Group,clarkcullengroup,602e2337c2954e001e38c697,smediawebmastertool@gmail.com,UA-107116176-15,1541625169208774,2015868255363905,249-795-4054,,,,Kryzelle Campus
Clicknition,crickshighwaycomau,602e2bfbc2954e001e38da13,smediaanalytic@gmail.com,UA-169324917-38,,1305153166299132,,,Corbin Senchuk,,
Coast Mountain GM,coastmountaingm,602e21b2c2954e001e38c2cd,smediawebmastertool@gmail.com,UA-81637209-34,1198958276808800,768832126597171,,,Grant Criddle,,Esperanza San Jose
Cochrane Nissan,cochranenissancom,602e2987c2954e001e38d4e1,smediaanalytic@gmail.com,UA-159081726-16,1014028158980783,223176558735554,217-451-6845,,Ryan Yuhasz,,Nhoel Ditona
Colony Chevrolet GMC Buick,colonychevgmcbuick,602e2656c2954e001e38cde1,smediaanalytic@gmail.com,UA-141626127-11,338990036792351,2273504676090878,,,Ryan Yuhasz,,
Community AG - Community Honda Baytown,mycommunityhondacom,,,"UA-190651803-42	",838422220093241,1.31414E+15,,,,,
Community AG - Community Toyota,communitytoyotacom,,,"UA-190651803-41	",952406752164572,475161436281168,,,,,
Cook County Ford,cookford,602e21b7c2954e001e38c2d9,smediawebmastertool@gmail.com,UA-81637209-15,1151328904905071,542525039275785,721-007-3127,,Devin Howell-Shiplack,,Kryzelle Campus
Coos Bay Toyota,coosbaytoyota,602e21bcc2954e001e38c2e6,smediawebmastertool@gmail.com,UA-100014029-12,1404490926255533,1931603250453230,,,Kaleah Baker,,Esperanza San Jose
Country Hills Volkswagen,chvwca,602e29a8c2954e001e38d52c,smediaanalytic@gmail.com,UA-159081726-18,961345514041156,610325149360149,,,Erin Richmond,,Arnel Ditona
Country Truck & Auto,countrytruck,602e246fc2954e001e38c964,smediaanalytic@gmail.com,UA-118985773-33,307500423168807,570267696727742,,,Kaleah Baker,,Esperanza San Jose
Countryside Ford,countrysidefordcolumbuscom,,smediaanalytic@gmail.com,UA-179984697-8,759327814613136,336760077584801,,,Devin Howell-Shiplack,,
Countryside GM,countrysidegmcom,602e2941c2954e001e38d443,smediaanalytic@gmail.com,UA-157545294-25,2533234070250635,628776801240351,,,,,
County Chevrolet Limited,jeffsmith,602e21c1c2954e001e38c2f1,smediawebmastertool@gmail.com ,UA-107116176-43,958816980822932,549832135164007,219-567-0339,156003020,Ryan Yuhasz,Homi Khan,Nhoel Ditona
Courtesy Chrysler,courtesychryslercom,,,"UA-179984697-42	",,,,,,,
Coventry North Jaguar,coventrynorthjaguarcom,,,,,,,,,,
Covington Honda Nissan,covingtonhondanissan,602e227dc2954e001e38c4d5,smediawebmastertool@gmail.com,UA-100014029-9,1401821059855853,319784121775793,,,Grant Criddle,,Esperanza San Jose
Credit Guys,openroadoutletca,,smediaanalytic@gmail.com,UA-179984697-46,1054201594617803,,203-230-5294,,Devin Howell-Shiplack,,
Credit Guys,,,smediaanalytic@gmail.com,UA-179984697-46,1054201594617803,1904462393103380,203-230-5294,,Ryan Yuhasz,,Nhoel Ditona
Crestview Chrysler Dodge Jeep,crestviewchrysler,5fb6c7ff94138d001dfde5d6,smediaanalytic@gmail.com,UA-84659146-1,1096024753768820,846214368813365,430-403-1150,156001388,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Cricks Highway Group,crickshighwaycomau,,,"UA-169324917-38	",345478526095764,1305153166299132,,,,,
Cricks Highway Honda,crickshighwayhondacomau,,,"UA-171699954-4	",190876792019204,412475732881580,,,,,
Cricks Highway Kia,crickshighwaykiacomau,,,"UA-171699954-5	",208264343711339,1266222366864054,,,,,
Cricks Highway Renault,crickshighwayrenaultcomau,,,"UA-171699954-6	",1354451011404071,461506887722052,,,,,
Cricks Highway SsangYong,crickshighwayssangyongcomau,,,"UA-171699954-2	",671403163600021,781669602281528,,,,,
Cricks Highway Subaru,crickshighwaysubarucomau,,,UA-171699954-1,495883361365817,2.13788E+15,,,,,
Cricks Highway Volkswagen,crickshighwayvolkswagencomau,,,"UA-171699954-3	",813007702518365,1531042320362202,,,,,
Crown Acura,crownacuraca,60126be3aa1fc3001e0bfd0a,smediaanalytic2@gmail.com,UA-87928706-1,1363472857159214,168445997922214,152-616-2552,,Erin Richmond,Umer Khan,Arnel Ditona
Crown Honda,crownhondaca,60126be6aa1fc3001e0bfd14,smediaanalytic2@gmail.com,UA-87949201-1,186137262479912,502004870460740,977-691-8080,,Erin Richmond,Umer Khan,Arnel Ditona
Crown Mazda,crownmazdaca,60126be9aa1fc3001e0bfd1e,smediaanalytic2@gmail.com,UA-87919601-1,180775166598177,491302635120583,942-245-3454,,Erin Richmond,Umer Khan,Arnel Ditona
Crown Nissan,crownnissanca,60126becaa1fc3001e0bfd30,smediaanalytic2@gmail.com,UA-87912203-1,2847742658582283,2506736899569508,458-750-6676,,Erin Richmond,Umer Khan,Arnel Ditona
Crown Toyota,crowntoyotaca,60126befaa1fc3001e0bfd43,smediaanalytic2@gmail.com,UA-87949600-1,235962874064230,170980900863284,371-440-3809,,Erin Richmond,Umer Khan,Arnel Ditona
Cumberland Kia,cumberlandkia,602e243fc2954e001e38c8f3,smediaanalytic@gmail.com,UA-124252380-40,2706363022814488,176078080346994,,,Kaleah Baker,,Esperanza San Jose
CYV Chevrolet Buick GMC,cyvgm,602e281fc2954e001e38d1cd,smediaanalytic@gmail.com,UA-148906878-36,529588244275485,673190973207810,,,Ryan Yuhasz,,Nhoel Ditona
D&C Motor Company,dcmotorcompany,602e2715c2954e001e38cf7a,smediaanalytic@gmail.com,UA-143782155-45,2274513226212700,1990450511054377,688-285-1292,,Kaleah Baker,,Esperanza San Jose
Daimler Trucks Gold Coast,daimlertrucksgoldcoastcomau,,,,,,,,,,
Dave Smith Ford ,davesmithfordonline,,,"UA-130939443-19	",524107138523636,771571546704659,,,,,
Dealer xChange,,,,,,,,,Curtis Paradis,,
Denham Chrysler Ltd,denhamchryslerjeep,602e2501c2954e001e38cac1,smediaanalytic@gmail.com,UA-130939443-49,244799903072198,309344696597366,961-077-5599,,Devin Howell-Shiplack,,Kryzelle Campus
Destination Cycles Inc,destinationcyclescom,602e29adc2954e001e38d537,smediaanalytic@gmail.com,UA-159081726-17,873784489793360,224193548945844,,,,,
Diesel Store - Barker Mitsubishi,barkermitsubishi,,,"UA-148906878-10	",2402720633320598,522098311699758,,,,,
Diesel Store - Terrebonne Lincoln,terrebonnelincoln,,,"UA-148906878-9	",754676631622508,502747720303640,,,,,
Digital Kung Fu - Next Gen Auto,nextgenautoca,,,"UA-179984697-66	",,,510-647-9639,,,,
Dinsdale Auto Group - Tom Dinsdale Chevrolet Buick GMC,dinsdaleautonet,,,"UA-185710316-53	",273380200853745,709980879709567,,,,,
Dinsdale Auto Group - Tom Dinsdale Hyundai,dinsdalehyundaicom,,,"UA-185710316-54	",460979891730165,407422790531674,,,,,
Disbrowe Chevrolet Buick GMC Cadillac,disbrowe,5fc87bd9aec401001d0dbb39,marshalsmedia@gmail.com,UA-42553815-22,1045468332157796,521257294735263,384-023-3146,,Kaleah Baker,Umer Khan,Esperanza San Jose
Discovery AG - Discovery Toyota,mydiscoverytoyotacom,,,"UA-190651803-66	",277989707203835,388436301897368,,,,,
Dixon AG - Brockville Nissan,brockvillenissancom,,,"UA-190651803-81	",482894873050684,773427249530193,,,,,
Dothan Kia,dothankianet,,smediaanalytic@gmail.com,UA-151218577-27,552673788903050,1223992287789606,302-758-9782,,Ryan Yuhasz,Homi Khan,
Dothan VW,dothanvw,602e27c6c2954e001e38d0fe,smediaanalytic@gmail.com,UA-148906878-2,420026198917153,409755983030451,816-764-0356,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
Doug Marshall Motor City,dougmarshallgmcom,602e2972c2954e001e38d4ae,smediaanalytic@gmail.com,UA-159081726-3,2684525861784593,614164365812865,411-852-6217,,Grant Criddle,Umer Khan,Esperanza San Jose
Drive Nation Abbotsford,drivenationabbotsfordca,,smediaanalytic@gmail.com,UA-169324917-50,,,,,Regan Hinchcliffe,,
Drive Nation Value Centre,drivenation,,smediaanalytic@gmail.com,UA-60326068-3,,,788-942-5719,,Regan Hinchcliffe,,
